"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"134",1,"CHELSEA                  ","01  ONE FAMILY HOMES                        ","1",719,13,NA,"A4"," 449 WEST 21ST   STREET                    ","            ",10011,1,0,1,"1,646","4,420",1900,1," A4 ","$4,300,000",2011-01-26,4300000,4420,1646,0
"135",1,"CHELSEA                  ","01  ONE FAMILY HOMES                        ","1",743,62,NA,"A5"," 330 WEST 20TH STREET                      ","            ",10011,1,0,1,"1,518","3,264",1910,1," A5 ","$3,850,000",2011-08-29,3850000,3264,1518,0
"137",1,"CHELSEA                  ","02  TWO FAMILY HOMES                        ","1",745,61,NA,"B1"," 344 WEST 22ND STREET                      ","            ",10011,2,0,2,"2,057","3,520",1910,1," B1 ","$6,300,000",2011-04-01,6300000,3520,2057,0
"139",1,"CHELSEA                  ","02  TWO FAMILY HOMES                        ","1",772,36,NA,"B3"," 217 WEST 22ND   STREET                    ","            ",10011,2,0,2,"1,267","2,448",1901,1," B3 ","$4,575,000",2011-11-21,4575000,2448,1267,0
"140",1,"CHELSEA                  ","03  THREE FAMILY HOMES                      ","1",743,14,NA,"C0"," 349 WEST 19TH   STREET                    ","            ",10011,3,0,3,"1,397","3,168",1920,1," C0 ","$4,800,000",2011-11-08,4800000,3168,1397,0
"141",1,"CHELSEA                  ","03  THREE FAMILY HOMES                      ","1",771,61,NA,"C0"," 242 WEST 22ND STREET                      ","            ",10011,3,0,3,"2,469","4,825",1901,1," C0 ","$4,400,000",2011-03-04,4400000,4825,2469,0
"142",1,"CHELSEA                  ","03  THREE FAMILY HOMES                      ","1",772,39,NA,"C0"," 211 WEST 22ND STREET                      ","            ",10011,3,0,3,"847","2,800",1901,1," C0 ","$3,850,000",2011-09-07,3850000,2800,847,0
"1309",1,"CLINTON                  ","03  THREE FAMILY HOMES                      ","1",1054,15,NA,"C0"," 433 WEST 44TH   STREET                    ","            ",10036,3,0,3,"2,008","3,392",1920,1," C0 ","$272,794",2011-03-15,272794,3392,2008,0
"1632",1,"EAST VILLAGE             ","01  ONE FAMILY HOMES                        ","1",467,54,NA,"A9"," 215 EAST 11TH   STREET                    ","            ",10003,1,0,1,"1,275","3,615",1899,1," A9 ","$2,522,812",2011-12-21,2522812,3615,1275,0
"2965",1,"GRAMERCY                 ","01  ONE FAMILY HOMES                        ","1",874,30,NA,"A4"," 143 EAST 18TH   STREET                    ","            ",10003,1,0,1,"1,170","4,200",1920,1," A4 ","$4,775,000",2011-12-07,4775000,4200,1170,0
"2968",1,"GRAMERCY                 ","02  TWO FAMILY HOMES                        ","1",899,38,NA,"B9"," 236 EAST 19TH   STREET                    ","            ",10003,2,0,2,"1,750","3,880",1901,1," B9 ","$4,700,000",2011-03-14,4700000,3880,1750,0
"3370",1,"GREENWICH VILLAGE-CENTRAL","01  ONE FAMILY HOMES                        ","1",526,48,NA,"A5"," 82 MAC DOUGAL STREET                      ","            ",10012,1,0,1,"2,002","3,860",1899,1," A5 ","$8,400,000",2011-08-09,8400000,3860,2002,0
"3371",1,"GREENWICH VILLAGE-CENTRAL","01  ONE FAMILY HOMES                        ","1",553,34,NA,"A4"," 109 WAVERLY PLACE                         ","            ",10011,1,0,1,"2,517","5,896",1900,1," A4 ","$17,570,000",2011-03-04,17570000,5896,2517,0
"3372",1,"GREENWICH VILLAGE-CENTRAL","01  ONE FAMILY HOMES                        ","1",567,16,NA,"A9"," 20 EAST 10TH STREET                       ","            ",10003,1,0,1,"2,307","5,178",1900,1," A9 ","$18,995,000",2011-03-22,18995000,5178,2307,0
"3374",1,"GREENWICH VILLAGE-CENTRAL","01  ONE FAMILY HOMES                        ","1",576,60,NA,"A4"," 35 WEST 12 STREET                         ","            ",10011,1,0,1,"983","2,184",1901,1," A4 ","$5,200,000",2011-10-21,5200000,2184,983,0
"3375",1,"GREENWICH VILLAGE-CENTRAL","02  TWO FAMILY HOMES                        ","1",573,72,NA,"B9"," 55 WEST 9TH STREET                        ","            ",10011,2,0,2,"2,045","4,048",1900,1," B9 ","$9,400,000",2011-05-31,9400000,4048,2045,0
"3969",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY HOMES                        ","1",582,31,NA,"A5"," 40 LEROY STREET                           ","            ",10014,1,0,1,"938","3,650",1910,1," A5 ","$3,780,000",2011-03-11,3780000,3650,938,0
"3970",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY HOMES                        ","1",584,34,NA,"A9"," 69 BEDFORD STREET                         ","            ",10014,1,0,1,"1,600","3,200",1901,1," A9 ","$2,550,000",2011-07-08,2550000,3200,1600,0
"3971",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY HOMES                        ","1",588,16,NA,"A5"," 38 GROVE STREET                           ","            ",10014,1,0,1,"2,100","5,995",1915,1," A5 ","$14,000,000",2011-04-15,1.4e+07,5995,2100,0
"3976",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY HOMES                        ","1",630,34,NA,"A9"," 687 GREENWICH STREET                      ","            ",10014,1,0,1,"711","2,844",1989,1," A9 ","$3,875,000",2011-12-02,3875000,2844,711,0
"3977",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY HOMES                        ","1",630,34,NA,"A9"," 687 GREENWICH STREET                      ","            ",10014,1,0,1,"711","2,844",1989,1," A9 ","$3,800,000",2011-09-08,3800000,2844,711,0
"3978",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY HOMES                        ","1",630,40,NA,"A9"," 3 GREENWICH MEWS                          ","3",10014,1,0,1,"926","3,084",1989,1," A9 ","$4,800,000",2011-11-18,4800000,3084,926,0
"3979",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY HOMES                        ","1",630,135,NA,"A9"," 6 GREENWICH MEWS                          ","            ",10014,1,0,1,"740","2,588",1989,1," A9 ","$4,200,000",2011-04-28,4200000,2588,740,0
"3980",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY HOMES                        ","1",583,10,NA,"B3"," 68 MORTON STREET                          ","            ",10014,2,0,2,"700","2,800",1901,1," B3 ","$3,850,000",2011-07-08,3850000,2800,700,0
"3981",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY HOMES                        ","1",583,50,NA,"B1"," 77 LEROY STREET                           ","            ",10014,2,0,2,"2,167","4,368",1901,1," B1 ","$9,050,000",2011-05-26,9050000,4368,2167,0
"3982",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY HOMES                        ","1",585,14,NA,"B3"," 21/2 GROVE STREET                         ","            ",10014,2,0,2,"1,024","2,928",1901,1," B3 ","$3,600,000",2011-02-23,3600000,2928,1024,0
"3983",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY HOMES                        ","1",587,4,NA,"B2"," 66 BEDFORD STREET                         ","            ",10014,2,0,2,"1,294","2,032",1899,1," B2 ","$5,700,000",2011-06-30,5700000,2032,1294,0
"3985",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY HOMES                        ","1",588,12,NA,"B1"," 30 GROVE STREET                           ","            ",10014,2,0,2,"2,100","3,834",1915,1," B1 ","$8,250,000",2011-06-30,8250000,3834,2100,0
"3986",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY HOMES                        ","1",590,18,NA,"S2"," 20 JONES STREET                           ","            ",10014,2,1,3,"2,285","2,055",1940,1," S2 ","$6,041,000",2011-09-14,6041000,2055,2285,0
"3989",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY HOMES                        ","1",614,31,NA,"B9"," 225 WEST 11TH STREET                      ","            ",10014,2,0,2,"1,940","3,360",1899,1," B9 ","$7,825,000",2011-06-10,7825000,3360,1940,0
"3990",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY HOMES                        ","1",614,39,NA,"B3"," 241 WEST 11TH   STREET                    ","            ",10014,2,0,2,"1,900","4,256",1899,1," B3 ","$4,437,500",2011-10-28,4437500,4256,1900,0
